date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:05	39816/39816	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-9b88%22	http://dentario-html.themerex.net/js/custom/custom.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/custom.js	(from http://dentario-html.themerex.net/)
17:45:09	64621/64621	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb24-fc6d%22	http://dentario-html.themerex.net/js/vendor/revslider/jquery.themepunch.revolution.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/revslider/jquery.themepunch.revolution.min.js	(from http://dentario-html.themerex.net/)
17:45:11	107002/107002	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb23-1a1fa%22	http://dentario-html.themerex.net/js/vendor/esg/jquery.themepunch.tools.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/esg/jquery.themepunch.tools.min.js	(from http://dentario-html.themerex.net/)
17:45:11	28243/28243	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb26-6e53%22	http://dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.slideanims.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.slideanims.min.js	(from http://dentario-html.themerex.net/)
17:45:13	26109/26109	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb26-65fd%22	http://dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.navigation.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.navigation.min.js	(from http://dentario-html.themerex.net/)
17:45:13	55166/55166	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb26-d77e%22	http://dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.layeranimation.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.layeranimation.min.js	(from http://dentario-html.themerex.net/)
17:45:14	10869/10869	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb26-2a75%22	http://dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.parallax.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/revslider/extensions/revolution.extension.parallax.min.js	(from http://dentario-html.themerex.net/)
17:45:15	9045/9045	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-2355%22	http://dentario-html.themerex.net/js/vendor/modernizr.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/modernizr.min.js	(from http://dentario-html.themerex.net/)
17:45:15	4014/4014	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb24-fae%22	http://dentario-html.themerex.net/js/vendor/jquery/core.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/jquery/core.min.js	(from http://dentario-html.themerex.net/)
17:45:16	6985/6985	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-1b49%22	http://dentario-html.themerex.net/js/vendor/superfish.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/superfish.js	(from http://dentario-html.themerex.net/)
17:45:16	2125/2125	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-84d%22	http://dentario-html.themerex.net/js/custom/jquery.slidemenu.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/jquery.slidemenu.js	(from http://dentario-html.themerex.net/)
17:45:18	35281/35281	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-89d1%22	http://dentario-html.themerex.net/js/custom/core.utils.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/core.utils.js	(from http://dentario-html.themerex.net/)
17:45:18	7359/7359	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-1cbf%22	http://dentario-html.themerex.net/js/custom/init.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/init.js	(from http://dentario-html.themerex.net/)
17:45:19	58379/58379	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-e40b%22	http://dentario-html.themerex.net/js/custom/core.init.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/core.init.js	(from http://dentario-html.themerex.net/)
17:45:19	429148/429148	---M--	200	added ('OK')	image/png	etag:%2259c8fb1a-68c5c%22	http://dentario-html.themerex.net/images/h1_sl1_2.png	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/images/h1_sl1_2.png	(from http://dentario-html.themerex.net/)
17:45:19	810/810	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb24-32a%22	http://dentario-html.themerex.net/js/vendor/mediaelement/mediaelement.min.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/vendor/mediaelement/mediaelement.min.js	(from http://dentario-html.themerex.net/)
17:45:20	3801/3801	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259c8fb22-ed9%22	http://dentario-html.themerex.net/js/custom/social-share.js	C:/My%20Web%20Sites/dentist-website/dentario-html.themerex.net/js/custom/social-share.js	(from http://dentario-html.themerex.net/)
